removed_stage,variant_id,operator_family,source_stratum,baseline_first_destination,outcome_without_stage,fate
schema_validation,V0047,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0050,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0046,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0049,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0048,F1,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0052,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0045,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0051,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0055,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0058,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0054,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0057,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0056,F1,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0060,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0053,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0059,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0039,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0042,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0038,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0041,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0040,F1,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0036,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0037,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0044,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0035,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0043,F1,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0009,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0012,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0008,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0011,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0010,F1,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0006,F1,directed,escape,escape,baseline_escape
schema_validation,V0007,F1,directed,escape,escape,baseline_escape
schema_validation,V0014,F1,directed,escape,escape,baseline_escape
schema_validation,V0005,F1,directed,escape,escape,baseline_escape
schema_validation,V0013,F1,directed,escape,escape,baseline_escape
schema_validation,V0002,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0004,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0001,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0003,F1,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0031,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0026,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0019,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0015,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0032,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0033,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0020,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0021,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0016,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0027,F1,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0028,F1,fuzz,schema_validation,downstream_crash,downstream_crash
schema_validation,V0017,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0029,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0024,F1,fuzz,escape,escape,baseline_escape
schema_validation,V0022,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0030,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0023,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0018,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0034,F1,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0025,F1,fuzz,escape,escape,baseline_escape
schema_validation,V0068,F2,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0070,F2,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0069,F2,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0062,F2,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0061,F2,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0066,F2,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0067,F2,directed,single_artifact_validator,single_artifact_validator,other_stage_first_hit
schema_validation,V0063,F2,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0064,F2,directed,cross_artifact_preflight,cross_artifact_preflight,other_stage_first_hit
schema_validation,V0109,F2,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0110,F2,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0071,F2,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0065,F2,directed,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0118,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0119,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0117,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0120,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0116,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0115,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0112,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0111,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0114,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0113,F2,directed,approval_hash_binding,approval_hash_binding,other_stage_first_hit
schema_validation,V0103,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0085,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0072,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0079,F2,fuzz,escape,escape,baseline_escape
schema_validation,V0080,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0104,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0073,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0093,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0074,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0086,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0094,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0095,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0105,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0087,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0081,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0106,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0088,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0089,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0099,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
schema_validation,V0096,F2,fuzz,schema_validation,single_artifact_validator,absorbed_by_later_layer
