source,outcome,count,pct,source_total
directed,schema_validation,63,43.15,146
directed,single_artifact_validator,20,13.7,146
directed,approval_hash_binding,32,21.92,146
directed,cross_artifact_preflight,17,11.64,146
directed,orchestrator_revalidation,9,6.16,146
directed,escape,5,3.42,146
fuzz,schema_validation,198,90.41,219
fuzz,single_artifact_validator,0,0.0,219
fuzz,approval_hash_binding,4,1.83,219
fuzz,cross_artifact_preflight,1,0.46,219
fuzz,orchestrator_revalidation,0,0.0,219
fuzz,escape,16,7.31,219
all,schema_validation,261,71.51,365
all,single_artifact_validator,20,5.48,365
all,approval_hash_binding,36,9.86,365
all,cross_artifact_preflight,18,4.93,365
all,orchestrator_revalidation,9,2.47,365
all,escape,21,5.75,365
