operator_family,baseline_destination,baseline_count,newly_accepted_after_bypass,later_rejected_after_bypass
layout_spacing,ruff_format,4,4,0
layout_spacing,ruff_lint,0,0,0
layout_spacing,mypy,0,0,0
layout_spacing,pytest,0,0,0
layout_spacing,accepted,0,N/A,N/A
parameter_reference,ruff_format,0,0,0
parameter_reference,ruff_lint,0,0,0
parameter_reference,mypy,2,0,2
parameter_reference,pytest,2,2,0
parameter_reference,accepted,0,N/A,N/A
annotation_atom,ruff_format,0,0,0
annotation_atom,ruff_lint,0,0,0
annotation_atom,mypy,4,4,0
annotation_atom,pytest,0,0,0
annotation_atom,accepted,0,N/A,N/A
predicate_replacement,ruff_format,0,0,0
predicate_replacement,ruff_lint,0,0,0
predicate_replacement,mypy,0,0,0
predicate_replacement,pytest,3,3,0
predicate_replacement,accepted,3,N/A,N/A
scalar_boundary,ruff_format,0,0,0
scalar_boundary,ruff_lint,0,0,0
scalar_boundary,mypy,0,0,0
scalar_boundary,pytest,4,4,0
scalar_boundary,accepted,2,N/A,N/A
