replay,cell_id,mutant_id,stratum,intended_stage,bypassed_stage,outcome,destination,mutated_source_sha256
1,r1-CTRL-01-bypass-none,CTRL-01,control,,none,accepted,accepted,49f3abd713b73e8134443631edb31c8809e38b28c93db3f0ffddc007921460ec
1,r1-G-LAY-01-bypass-none,G-LAY-01,primary,,none,controlled_rejection,ruff_format,d83ff0736e606dad583ddb3c91edd01be8c88fc9962208d10c8a0e7e64cf1368
1,r1-G-LAY-01-bypass-ruff_format,G-LAY-01,primary,,ruff_format,accepted,accepted,d83ff0736e606dad583ddb3c91edd01be8c88fc9962208d10c8a0e7e64cf1368
1,r1-G-LAY-01-bypass-ruff_lint,G-LAY-01,primary,,ruff_lint,controlled_rejection,ruff_format,d83ff0736e606dad583ddb3c91edd01be8c88fc9962208d10c8a0e7e64cf1368
1,r1-G-LAY-01-bypass-mypy,G-LAY-01,primary,,mypy,controlled_rejection,ruff_format,d83ff0736e606dad583ddb3c91edd01be8c88fc9962208d10c8a0e7e64cf1368
1,r1-G-LAY-01-bypass-pytest,G-LAY-01,primary,,pytest,controlled_rejection,ruff_format,d83ff0736e606dad583ddb3c91edd01be8c88fc9962208d10c8a0e7e64cf1368
1,r1-G-LAY-02-bypass-none,G-LAY-02,primary,,none,controlled_rejection,ruff_format,666c727df6df04951f15c9effea5f5f895fc253409ef55b963352f379889ef19
1,r1-G-LAY-02-bypass-ruff_format,G-LAY-02,primary,,ruff_format,accepted,accepted,666c727df6df04951f15c9effea5f5f895fc253409ef55b963352f379889ef19
1,r1-G-LAY-02-bypass-ruff_lint,G-LAY-02,primary,,ruff_lint,controlled_rejection,ruff_format,666c727df6df04951f15c9effea5f5f895fc253409ef55b963352f379889ef19
1,r1-G-LAY-02-bypass-mypy,G-LAY-02,primary,,mypy,controlled_rejection,ruff_format,666c727df6df04951f15c9effea5f5f895fc253409ef55b963352f379889ef19
1,r1-G-LAY-02-bypass-pytest,G-LAY-02,primary,,pytest,controlled_rejection,ruff_format,666c727df6df04951f15c9effea5f5f895fc253409ef55b963352f379889ef19
1,r1-G-LAY-03-bypass-none,G-LAY-03,primary,,none,controlled_rejection,ruff_format,dc4fc167fb02854be6bbd96c86de98779c81880133eaa81e3eaafd3a8d2848de
